exp,dm,cars_per_zone,n_zones,total_cars,kwh,co2_kg
10000,DQN,10,4,40,0.04698046875,2.4822529296875e-05
10001,DQN,10,4,40,0.04698046875,2.4822529296875e-05
10002,DQN,10,4,40,0.04580390625,2.4208261718750004e-05
10003,DQN,50,4,200,0.0,5.807291666666666e-07
10004,DQN,50,4,200,0.0,4.971093749999999e-07
10005,DQN,50,4,200,0.0,6.930598958333333e-07
10006,DQN,100,4,400,0.0,1.0725e-06
10007,DQN,100,4,400,0.0,8.145833333333334e-07
10008,DQN,100,4,400,0.0,1.1394270833333334e-06
10009,DQN,200,4,800,0.00269765625,2.5327994791666665e-06
10010,DQN,200,4,800,0.00204140625,1.5991015625e-06
10011,DQN,200,4,800,0.0,1.7817447916666666e-06
10012,REINFORCE,10,4,40,0.05259375,2.6401381448412692e-05
10013,REINFORCE,10,4,40,0.04756171875,2.512859375e-05
10014,REINFORCE,10,4,40,0.04756171875,2.512859375e-05
10015,REINFORCE,50,4,200,0.0,6.7375e-07
10017,REINFORCE,50,4,200,0.0,7.334765625000001e-07
10018,REINFORCE,100,4,400,0.0,9.748046875e-07
10019,REINFORCE,100,4,400,0.0,1.0487239583333332e-06
10020,REINFORCE,100,4,400,0.0,7.651692708333333e-07
10021,REINFORCE,200,4,800,0.0,2.170078125e-06
10022,REINFORCE,200,4,800,0.0,1.7524609375000002e-06
10023,REINFORCE,200,4,800,0.0,1.3827734375000002e-06
10036,ODT,10,4,40,0.0,1.1288061805555556e-06
10037,ODT,10,4,40,0.21943993750000004,0.0001102567043551
10038,ODT,10,4,40,0.2146386875,0.0001078592145205
10039,ODT,50,4,200,0.17417718749999997,8.742880881944443e-05
10040,ODT,50,4,200,0.0,2.306705625e-06
10041,ODT,50,4,200,0.15975731250000003,8.469723173437501e-05
10042,ODT,100,4,400,0.23893869375,0.0001262692147697
10043,ODT,100,4,400,0.0,3.799688888888888e-06
10044,ODT,100,4,400,0.0,3.534951458333333e-06
10045,ODT,200,4,800,0.24711828125,0.0001320661460486
10046,ODT,200,4,800,0.0,6.775012222222222e-06
10047,ODT,200,4,800,0.0,5.907274166666667e-06
