exp,dm,num_cars,seconds,gpu_measured,cpu_kwh,gpu_kwh,total_kwh
10000,DQN,50,8.288,True,9.67024e-05,0.0001343706,0.000231073
10001,DQN,50,8.398,True,9.75091e-05,0.0001359474,0.0002334565
10002,DQN,50,8.411,True,9.6935e-05,0.0001350032,0.0002319382
10003,DQN,100,15.601,True,0.0001456098,0.0002511079,0.0003967177
10004,DQN,100,15.687,True,0.0001472121,0.0002536905,0.0004009026
10005,DQN,100,15.761,True,0.0001441923,0.000253307,0.0003974993
10006,DQN,150,23.005,True,0.0001914463,0.0003694211,0.0005608674
10007,DQN,150,23.062,True,0.0001932427,0.0003721073,0.0005653501
10008,DQN,150,22.641,True,0.0001914181,0.000364476,0.0005558942
10009,DQN,200,30.395,True,0.0002607307,0.000488653,0.0007493837
10010,DQN,200,30.532,True,0.000258803,0.0004885312,0.0007473343
10011,DQN,200,30.407,True,0.00025676,0.0004867167,0.0007434766
10012,REINFORCE,50,8.276,True,9.6496e-05,0.0001329517,0.0002294477
10013,REINFORCE,50,8.444,True,9.80627e-05,0.0001345059,0.0002325686
10014,REINFORCE,50,8.412,True,9.80863e-05,0.0001348977,0.0002329841
10015,REINFORCE,100,15.443,True,0.0001374349,0.0002471585,0.0003845933
10016,REINFORCE,100,15.608,True,0.0001412055,0.0002506583,0.0003918638
10017,REINFORCE,100,15.356,True,0.0001360838,0.0002454825,0.0003815663
10018,REINFORCE,150,22.897,True,0.000181506,0.0003678053,0.0005493113
10019,REINFORCE,150,22.758,True,0.0001827305,0.0003632145,0.000545945
10020,REINFORCE,150,22.693,True,0.0001792075,0.0003611976,0.0005404051
10021,REINFORCE,200,30.354,True,0.0002401533,0.0004842032,0.0007243564
10022,REINFORCE,200,29.957,True,0.0002367919,0.0004773217,0.0007141136
10023,REINFORCE,200,30.154,True,0.0002401542,0.0004811969,0.0007213511
10024,CMA,50,8.326,True,9.14422e-05,0.0001336774,0.0002251196
10025,CMA,50,8.333,True,9.18873e-05,0.0001339016,0.0002257888
10026,CMA,50,8.360,True,9.2343e-05,0.0001342357,0.0002265787
10027,CMA,100,15.486,True,0.0001298738,0.0002476892,0.0003775631
10028,CMA,100,15.685,True,0.0001329039,0.0002518879,0.0003847919
10029,CMA,100,15.436,True,0.000129651,0.000247547,0.0003771981
10030,CMA,150,22.845,True,0.0001788523,0.0003667978,0.0005456501
10031,CMA,150,22.843,True,0.0001790346,0.0003661988,0.0005452333
10032,CMA,150,22.907,True,0.0001778403,0.0003655321,0.0005433724
10033,CMA,200,30.450,True,0.0002317743,0.0004869553,0.0007187295
10034,CMA,200,30.172,True,0.0002289517,0.0004822169,0.0007111686
10035,CMA,200,30.343,True,0.0002301459,0.0004824479,0.0007125939
10036,ODT,50,34.350,True,0.0010809668,0.0005547432,0.0016357101
10037,ODT,50,36.684,True,0.0011441767,0.0005913553,0.001735532
10038,ODT,50,34.313,True,0.001091325,0.0005532631,0.0016445881
10039,ODT,100,61.546,True,0.0019073012,0.0009902644,0.0028975656
10040,ODT,100,62.134,True,0.001928463,0.0009972335,0.0029256965
10041,ODT,100,62.225,True,0.0019260488,0.0009972744,0.0029233232
10042,ODT,150,90.882,True,0.0027835723,0.0014551592,0.0042387315
10043,ODT,150,92.863,True,0.0028581639,0.0014879275,0.0043460915
10044,ODT,150,87.366,True,0.0026702448,0.0014010319,0.0040712767
10045,ODT,200,120.980,True,0.0037079664,0.0019368004,0.0056447668
10046,ODT,200,121.973,True,0.0037362539,0.0019416956,0.0056779494
10047,ODT,200,121.740,True,0.0037252232,0.0019438077,0.0056690309
