alg|season|distance|peak|energy|endrule
CMA-ES|Winter|36.60 $\pm$ 1.22|24|15.96 $\pm$ 1.31|
|Autumn|36.59 $\pm$ 1.20|24|21.54 $\pm$ 3.04|
|Spring|36.60 $\pm$ 1.21|24|17.95 $\pm$ 3.19|
|Summer|36.59 $\pm$ 1.20|24|22.91 $\pm$ 2.96|hline
DQN|Winter|36.27 $\pm$ 1.06|29|15.83 $\pm$ 3.29|
|Autumn|36.34 $\pm$ 1.08|28|21.33 $\pm$ 3.10|
|Spring|36.24 $\pm$ 1.02|28|17.57 $\pm$ 3.16|
|Summer|36.31 $\pm$ 1.01|28|22.79 $\pm$ 3.08|hline
ODT|Winter|36.50 $\pm$ 1.22|28|\textbf{15.29 $\pm$ 2.99}|
|Autumn|\textbf{36.22 $\pm$ 0.76}|28|20.89 $\pm$ 2.55|
|Spring|36.40 $\pm$ 1.05|28|15.67 $\pm$ 3.70|
|Summer|36.22 $\pm$ 0.76|28|20.51 $\pm$ 1.24|hline
REINFORCE|Winter|36.30 $\pm$ 0.91|22|16.44 $\pm$ 3.03|
|Autumn|36.27 $\pm$ 0.76|20|21.20 $\pm$ 3.01|
|Spring|36.27 $\pm$ 0.77|22|17.57 $\pm$ 3.15|
|Summer|36.27 $\pm$ 0.76|\textbf{19}|22.54 $\pm$ 2.93|hline
