Algorithm,Season,Avg Distance,Distance Std Dev,Avg Energy Used (Wh),Energy Used Std Dev (Wh),Peak Traffic
DQN,autumn,37.113233415302496,1.515023014159402,21325.771190166663,3103.6743109660456,26.0
DQN,spring,37.11659694562667,1.5151289513735988,17572.155331044447,3155.5820837552274,26.0
DQN,summer,37.11225627117053,1.519241244938316,22786.93317947222,3075.0660789961335,26.0
DQN,winter,37.13549018353291,1.552598679258822,15831.541371783333,3287.5298670091556,26.0
REINFORCE,autumn,36.7003330160058,0.9152805233572178,21198.310458083335,3006.100677123879,25.0
REINFORCE,spring,36.71020416278718,0.9325402811465442,18520.805620630555,3696.4601463948675,25.0
REINFORCE,summer,36.69981824042512,0.914541609490619,22543.93141647222,2927.1810474046315,23.0
REINFORCE,winter,36.732783651827376,0.9869453273383728,15288.116468758335,2993.3916200612284,24.0
CMA,autumn,36.87450713096473,1.2556229802605536,21546.682847250002,3048.1140240382174,26.0
CMA,spring,36.88055499140068,1.2666137895157894,17950.971620138887,3194.7113063026027,26.0
CMA,summer,36.889864330661204,1.2785491964693567,22908.7867576875,2962.4197555737633,24.0
CMA,winter,36.903244485059815,1.3126578816798669,15961.864119777778,3186.7550699121075,26.0
ODT,autumn,36.878704663498574,1.1870369909018081,21198.229495071428,3009.2946629260755,25.0
ODT,spring,36.878841085017505,1.1890988592495242,17573.246003372307,3151.8142832439876,26.0
ODT,summer,36.87539060322262,1.177582358181969,22543.245135486108,2928.91493241752,25.0
ODT,winter,36.89720814110879,1.225027547016634,15365.25587395,3034.298723949126,26.0
